,time,time,time,time,time,time,time,time,time,force,force,force,force,force,force,force,force,force,time,time,time,time,time,time,time,time,time,force,force,force,force,force,force,force,force,force
,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
52,0.5212,0.6895,0.5955,0.5028,0.4375,0.5419,0.4819,0.7946,0.6616,565.5623,541.4600,560.0535,553.2207,544.8391,537.4428,348.1137,607.7544,469.9888,0.5834,0.7364,0.5819,0.5184,0.4530,0.5806,0.5399,0.8844,0.7311,864.2785,849.4428,857.6423,830.2332,682.6716,807.3510,575.2255,850.7917,767.9054
53,0.5310,0.7026,0.6068,0.5122,0.4458,0.5521,0.4910,0.8095,0.6741,520.7811,508.5732,521.0941,511.2437,482.5915,494.3610,296.1450,608.9660,463.6170,0.5944,0.7503,0.5929,0.5281,0.4615,0.5915,0.5501,0.9011,0.7449,813.2011,827.4126,809.3659,763.9196,565.2398,738.6255,495.3405,857.8551,755.6856
54,0.5409,0.7156,0.6180,0.5217,0.4540,0.5623,0.5001,0.8245,0.6866,463.6225,466.9180,471.1488,458.7387,408.1909,442.3144,243.3130,604.2938,454.6417,0.6054,0.7642,0.6038,0.5379,0.4701,0.6025,0.5603,0.9178,0.7587,744.8276,793.9054,745.5786,679.7744,440.6154,651.9516,410.5545,862.4052,739.1916
55,0.5507,0.7286,0.6292,0.5312,0.4623,0.5725,0.5092,0.8395,0.6991,395.3816,417.9109,411.3969,397.2196,326.0706,384.3039,192.7499,592.9669,442.5774,0.6164,0.7781,0.6148,0.5477,0.4786,0.6134,0.5705,0.9344,0.7725,658.6568,747.8084,665.6848,579.9018,323.9836,551.3925,328.6475,863.3058,718.0022
56,0.5606,0.7416,0.6405,0.5407,0.4705,0.5828,0.5183,0.8545,0.7116,321.2737,361.9806,344.9817,330.1423,244.1930,324.4758,146.2914,573.9778,426.8040,0.6274,0.7919,0.6258,0.5575,0.4871,0.6244,0.5807,0.9511,0.7863,557.6871,689.6018,571.6069,470.8415,226.7245,445.0666,258.0502,859.1432,691.2187
57,0.5704,0.7546,0.6517,0.5502,0.4788,0.5930,0.5273,0.8695,0.7241,246.7405,300.4460,276.8943,261.4333,169.2536,265.6642,105.4326,547.5719,406.4607,0.6384,0.8058,0.6368,0.5673,0.4957,0.6353,0.5908,0.9678,0.8001,449.2570,620.4400,467.8484,363.4124,149.5518,343.2118,200.2771,848.5107,657.6910
58,0.5802,0.7676,0.6629,0.5597,0.4870,0.6032,0.5364,0.8845,0.7365,177.0328,237.2547,212.4364,195.4953,107.0539,210.2967,71.3446,515.4646,381.2531,0.6494,0.8197,0.6478,0.5770,0.5042,0.6463,0.6010,0.9845,0.8139,343.4649,541.7821,361.1881,268.9113,91.7139,253.6278,152.2025,829.7758,617.1646
59,0.5901,0.7806,0.6742,0.5692,0.4953,0.6134,0.5455,0.8995,0.7490,116.6551,178.8074,155.1880,135.6319,61.5793,160.1773,45.1839,478.0297,351.8532,0.6604,0.8336,0.6587,0.5868,0.5128,0.6572,0.6112,1.0012,0.8277,247.6072,456.4292,259.9506,192.4356,55.3716,178.5102,113.5369,801.2393,570.7579
60,0.5999,0.7936,0.6854,0.5786,0.5036,0.6237,0.5546,0.9145,0.7615,69.5306,129.8320,106.8493,84.5853,31.6412,116.6483,26.6579,435.4602,318.8196,0.6715,0.8475,0.6697,0.5966,0.5213,0.6682,0.6214,1.0179,0.8415,165.8639,368.8069,172.7852,132.4976,35.4217,116.7968,83.5069,761.3146,519.8942
61,0.6097,0.8066,0.6967,0.5881,0.5118,0.6339,0.5637,0.9295,0.7740,37.4166,89.7055,67.7244,46.1492,14.0675,80.7557,14.9226,388.6527,282.3818,0.6825,0.8614,0.6807,0.6064,0.5299,0.6792,0.6316,1.0346,0.8553,102.7830,283.0588,105.4550,87.8320,23.6538,68.4169,59.7294,708.6953,466.3095
62,0.6196,0.8196,0.7079,0.5976,0.5201,0.6441,0.5728,0.9445,0.7865,17.6362,57.0370,38.2444,21.6020,5.1261,52.0013,8.1570,338.6199,244.1286,0.6935,0.8753,0.6917,0.6162,0.5384,0.6901,0.6418,1.0513,0.8691,58.4658,204.2517,57.5829,57.4095,15.5635,35.0796,40.7777,644.4123,411.5351
63,0.6294,0.8327,0.7191,0.6071,0.5283,0.6543,0.5819,0.9595,0.7990,6.9894,32.5455,18.8917,8.6958,1.1018,30.0323,4.0501,287.8522,205.6737,0.7045,0.8892,0.7027,0.6259,0.5470,0.7011,0.6520,1.0679,0.8829,29.0611,138.7785,26.2147,37.2397,9.5980,16.0431,26.6134,571.7958,356.2033
64,0.6392,0.8457,0.7304,0.6166,0.5366,0.6646,0.5910,0.9745,0.8114,2.4581,16.8766,7.4914,3.1907,0.0000,15.8857,2.0242,239.2115,168.3641,0.7155,0.9031,0.7136,0.6357,0.5555,0.7120,0.6621,1.0846,0.8967,12.1806,89.2905,9.1642,23.1896,5.7458,6.5779,16.6025,493.7822,301.3154
65,0.6491,0.8587,0.7416,0.6261,0.5448,0.6748,0.6001,0.9894,0.8239,0.7305,8.5048,1.6349,0.9948,0.0000,8.4835,1.5241,194.5697,132.7377,0.7265,0.9170,0.7246,0.6455,0.5641,0.7230,0.6723,1.1013,0.9104,4.3722,53.7708,2.3417,13.3751,3.3519,2.3978,9.5402,413.8908,249.0130
66,0.6589,0.8717,0.7528,0.6356,0.5531,0.6850,0.6092,1.0044,0.8364,0.1168,4.5939,-0.0000,0.1776,0.0000,4.4092,1.4239,152.7698,100.2648,0.7375,0.9309,0.7356,0.6553,0.5726,0.7339,0.6825,1.1180,0.9242,1.2859,29.5698,0.3700,6.6159,1.5210,0.8178,5.3130,336.8634,200.7719
67,0.6687,0.8847,0.7641,0.6450,0.5613,0.6952,0.6183,1.0194,0.8489,0.0000,3.0954,0.0000,0.0000,0.0000,2.0442,1.0068,112.6212,74.3482,0.7485,0.9448,0.7466,0.6651,0.5812,0.7449,0.6927,1.1347,0.9380,0.3410,14.4441,-0.0000,2.6449,0.3310,0.1784,3.1057,267.0514,156.6444
68,0.6786,0.8977,0.7753,0.6545,0.5696,0.7055,0.6274,1.0344,0.8614,0.0000,2.3737,0.0000,0.0000,0.0000,0.9050,0.3242,76.9049,55.3043,0.7595,0.9587,0.7575,0.6748,0.5897,0.7558,0.7029,1.1514,0.9518,0.0914,5.6436,0.0000,1.0022,-0.0000,-0.0000,1.7279,207.1375,117.2104
